timestamp,city,date,direction,bucket,entry_price,shares,cost,ev,kelly,forecast_temp,forecast_src,outcome,pnl,reason
2026-04-24T12:26:32.750102,dallas,2026-04-25,BUY_YES,84.0-999.0,0.095,105.26,10.0,9.5239,0.2499,91,hrrr,closed,87.89,TAKE-PROFIT
2026-04-24T12:26:32.752980,seattle,2026-04-25,BUY_YES,62.0-999.0,0.105,95.24,10.0,8.511,0.2496,68,hrrr,closed,77.62,TAKE-PROFIT
